fn,Book,s,,,
libro-1,Libro 1,"Invocación, el origen del mundo, las edades del hombre, la gigantomaquia, el concilio de los dioses (I), licaón, el concilio de los dioses (II), el diluvio, deucalión y pirra, la sierpe pitón, apolo y dafne, júpiter e ío, argos, pan y siringe, júpiter e ío (ii), faetón (i) ",corr* (16),"cadmo, febo, cefiso, pánope, júpiter, marte, baco, […]",,,,
libro-2,Libro 2,"faetón (ii), clímene, las helíades, cigno, júpiter y calisto, el cuervo, apolo y coronis, la corneja nictímene, las hijas de cécrope, apolo y coronis (ii), ocírroe, mercurio y bato, áglauro mercurio y herse, la envidia, áglauro, júpiter y europa, ",corr* (15),,,,,
libro-3,Libro 3,"cadmo, diana y acteón, júpiter sémele y baco, tiresias, narciso y eco, penteo y baco (I), los navegantes tirrenos, penteo y baco (II)",correr (3),,,,,
libro-4,Libro 4,,(re)corr* (5),,,,,
libro-5,Libro 5,,(re)corr* (8),,,,,
libro-6,Libro 6,,,,,,,
libro-7,Libro 7,,,,,,,
libro-8,Libro 8,,,,,,,
libro-9,Libro 9,,,,,,,
libro-10,Libro 10,,,,,,,
libro-11,Libro 11,,,,,,,
libro-12,Libro 12,,,,,,,
libro-13,Libro 13,,,,,,,
libro-14,Libro 14,,,,,,,
libro-15,Libro 15,,,,,,,
